,Values,
Row Labels,Sum of wealth,Sum of birth_year
Algeria,4600,1944
Argentina,12800,9695
Armenia,1200,1968
Australia,183500,91921
Austria,69500,19621
Bangladesh,1000,1955
Barbados,1400,1988
Belgium,12800,5882
Belize,3900,1955
Brazil,159300,97749
Bulgaria,4200,3941
Canada,245100,123229
Chile,41900,13639
China,1632800,948561
Colombia,18100,7810
Cyprus,36800,17662
Czech Republic,57400,17682
Denmark,42200,15722
Egypt,19100,11698
Estonia,1300,1980
Eswatini (Swaziland),6500,1932
Finland,14000,13719
France,587900,82120
Georgia,8600,3931
Germany,551000,227079
Greece,16600,11729
Guernsey,2300,1952
Hong Kong,357600,131113
Hungary,3900,5890
Iceland,2500,1967
India,666400,324379
Indonesia,138400,56497
Ireland,36200,17651
Israel,113300,58715
Italy,210200,121270
Japan,150100,76040
Kazakhstan,22600,11807
Lebanon,11800,11769
Liechtenstein,2300,1957
Macau,1300,1952
Malaysia,49500,27301
Mexico,165700,25384
Monaco,12400,5833
Morocco,2800,3893
Nepal,1800,1955
Netherlands,40600,23477
New Zealand,12700,5875
Nigeria,28500,5870
Norway,36300,23627
Oman,4300,3887
Peru,2500,3883
Philippines,41400,27351
Poland,21600,13757
Portugal,4700,1935
Qatar,3000,3907
Romania,8800,11795
Russia,471300,204196
Singapore,122700,70384
Slovakia,3100,3936
South Africa,25600,9758
South Korea,69400,52984
Spain,135200,52713
St. Kitts and Nevis,1300,1940
Sweden,140400,76526
Switzerland,206300,80171
Taiwan,131600,95495
Tanzania,1500,1975
Thailand,100800,54567
Turkey,57800,50801
Ukraine,11600,9825
United Arab Emirates,21400,7837
United Kingdom,193400,97743
United States,4488900,1434570
Venezuela,4300,1959
Vietnam,12600,11792
Zimbabwe,1900,1961
Grand Total,12090100,5070934
